report_date,warehouse_location,client_group,product_group,quantity,unit_price,total_price,payment_method
2022-05-21,North,Retail,Suspension & traction,6,37.2,223.22,credit_card
2022-05-22,North,Retail,Suspension & traction,3,30.11,90.34,credit_card
2022-05-22,North,Retail,Suspension & traction,9,37.44,337.0,credit_card
2022-05-22,Central,Retail,Suspension & traction,5,31.56,157.82,credit_card
2022-05-22,Central,Retail,Engine,6,59.3,355.81,cash
2022-05-22,Central,Wholesale,Engine,4,63.58,254.34,bank_transfer
2022-05-22,Central,Retail,Engine,5,53.4,266.98,credit_card
2022-05-22,Central,Retail,Breaking system,5,13.14,65.72,credit_card
2022-05-23,North,Retail,Miscellaneous,9,21.27,191.44,credit_card
2022-05-23,West,Retail,Electrical system,7,33.33,233.29,credit_card
2022-05-23,Central,Retail,Electrical system,5,18.5,92.49,credit_card
2022-05-23,North,Retail,Suspension & traction,6,36.01,216.06,credit_card
2022-05-23,North,Retail,Engine,5,65.99,329.96,cash
2022-05-23,North,Retail,Breaking system,1,13.44,13.44,credit_card
2022-05-23,West,Retail,Electrical system,3,30.68,92.02,credit_card
2022-05-23,North,Retail,Miscellaneous,6,29.76,178.53,credit_card
2022-05-23,West,Wholesale,Suspension & traction,16,32.9,526.35,bank_transfer
2022-05-23,West,Retail,Frame & body,10,48.3,483.0,cash
2022-05-23,West,Retail,Breaking system,8,11.54,92.33,credit_card
2022-05-23,Central,Wholesale,Breaking system,32,14.74,471.84,bank_transfer
2022-05-23,North,Retail,Engine,4,59.69,238.77,credit_card
2022-05-23,Central,Retail,Suspension & traction,6,38.96,233.77,cash
2022-05-23,North,Retail,Breaking system,5,11.32,56.62,cash
2022-05-23,Central,Retail,Electrical system,1,30.51,30.51,credit_card
2022-05-23,Central,Retail,Breaking system,7,15.91,111.35,credit_card
2022-05-24,North,Retail,Breaking system,8,22.78,182.24,credit_card
2022-05-24,Central,Retail,Frame & body,6,37.18,223.08,credit_card
2022-05-24,West,Retail,Suspension & traction,3,39.29,117.86,cash
2022-05-24,Central,Retail,Electrical system,10,23.38,233.83,credit_card
2022-05-24,North,Retail,Frame & body,10,46.46,464.62,credit_card
2022-05-24,Central,Retail,Electrical system,7,29.31,205.19,credit_card
2022-05-24,Central,Retail,Suspension & traction,5,37.21,186.07,credit_card
2022-05-24,Central,Retail,Frame & body,10,46.1,461.0,credit_card
2022-05-24,West,Retail,Suspension & traction,1,35.15,35.15,cash
2022-05-24,Central,Retail,Breaking system,3,23.87,71.61,credit_card
2022-05-24,North,Wholesale,Electrical system,32,24.77,792.64,bank_transfer
2022-05-24,North,Retail,Electrical system,8,18.43,147.41,credit_card
2022-05-24,North,Retail,Electrical system,5,29.58,147.92,credit_card
2022-05-25,Central,Retail,Breaking system,2,18.49,36.99,credit_card
2022-05-25,Central,Retail,Miscellaneous,7,21.42,149.93,cash
2022-05-25,Central,Retail,Electrical system,4,25.19,100.75,credit_card
2022-05-25,North,Wholesale,Frame & body,16,40.01,640.13,bank_transfer
2022-05-25,North,Retail,Suspension & traction,4,35.0,140.01,cash
2022-05-25,Central,Retail,Frame & body,2,36.98,73.96,credit_card
2022-05-25,Central,Retail,Engine,1,66.02,66.02,credit_card
2022-05-25,West,Retail,Breaking system,1,10.9,10.9,credit_card
2022-05-25,Central,Retail,Miscellaneous,5,28.06,140.3,credit_card
2022-05-25,North,Retail,Breaking system,1,20.68,20.68,cash
2022-05-25,Central,Retail,Breaking system,7,14.94,104.56,cash
2022-05-25,West,Retail,Breaking system,3,22.48,67.44,credit_card
2022-05-25,Central,Retail,Electrical system,10,31.75,317.5,credit_card
2022-05-25,West,Retail,Frame & body,9,45.03,405.28,cash
2022-05-25,West,Retail,Engine,8,55.72,445.75,credit_card
2022-05-25,North,Retail,Suspension & traction,9,29.37,264.34,credit_card
2022-05-25,North,Wholesale,Suspension & traction,12,33.88,406.6,bank_transfer
2022-05-26,West,Retail,Breaking system,1,19.16,19.16,credit_card
2022-05-26,North,Retail,Breaking system,1,11.89,11.89,credit_card
2022-05-26,North,Retail,Breaking system,1,10.35,10.35,credit_card
2022-05-26,Central,Wholesale,Miscellaneous,8,26.48,211.84,bank_transfer
2022-05-26,Central,Retail,Frame & body,5,41.92,209.62,credit_card
2022-05-26,Central,Retail,Breaking system,2,13.89,27.78,credit_card
2022-05-26,Central,Retail,Breaking system,3,24.45,73.34,credit_card
2022-05-26,North,Retail,Electrical system,7,25.28,176.97,cash
2022-05-26,Central,Wholesale,Electrical system,36,28.23,1016.22,bank_transfer
2022-05-26,Central,Retail,Suspension & traction,4,29.26,117.03,credit_card
2022-05-26,West,Retail,Breaking system,5,14.48,72.38,credit_card
2022-05-26,Central,Retail,Electrical system,7,31.18,218.26,credit_card
2022-05-26,Central,Retail,Breaking system,2,21.9,43.79,credit_card
2022-05-26,Central,Wholesale,Miscellaneous,20,26.68,533.5,bank_transfer
2022-05-26,Central,Retail,Breaking system,10,14.66,146.58,credit_card
2022-05-26,West,Retail,Frame & body,10,40.81,408.1,cash
2022-05-26,Central,Retail,Electrical system,3,22.3,66.9,credit_card
2022-05-27,Central,Wholesale,Breaking system,36,17.34,624.42,bank_transfer
2022-05-27,North,Retail,Engine,8,59.7,477.63,credit_card
2022-05-27,Central,Wholesale,Electrical system,40,24.43,977.13,bank_transfer
2022-05-27,Central,Retail,Engine,4,66.03,264.11,credit_card
2022-05-27,West,Retail,Miscellaneous,6,28.37,170.24,credit_card
2022-05-27,North,Retail,Electrical system,1,28.88,28.88,credit_card
2022-05-27,North,Retail,Frame & body,5,38.71,193.54,cash
2022-05-27,Central,Retail,Suspension & traction,10,33.17,331.68,credit_card
2022-05-27,North,Retail,Breaking system,7,17.38,121.66,credit_card
2022-05-27,North,Retail,Miscellaneous,6,26.95,161.71,credit_card
2022-05-27,West,Retail,Suspension & traction,7,29.04,203.28,credit_card
2022-05-27,Central,Retail,Frame & body,10,35.73,357.27,credit_card
2022-05-27,North,Retail,Suspension & traction,2,27.0,54.01,credit_card
2022-05-27,West,Retail,Suspension & traction,2,36.57,73.13,credit_card
2022-05-28,North,Retail,Miscellaneous,7,15.26,106.79,credit_card
2022-05-28,West,Retail,Electrical system,6,19.79,118.77,credit_card
2022-05-28,Central,Retail,Breaking system,5,12.3,61.52,cash
2022-05-28,Central,Retail,Frame & body,9,46.34,417.1,credit_card
2022-05-28,West,Retail,Frame & body,8,46.83,374.63,credit_card
2022-05-28,Central,Retail,Engine,8,62.56,500.49,credit_card
2022-05-28,Central,Retail,Engine,1,53.19,53.19,credit_card
2022-05-28,Central,Retail,Electrical system,8,33.19,265.55,credit_card
2022-05-28,Central,Wholesale,Electrical system,12,31.13,373.6,bank_transfer
2022-05-28,Central,Retail,Suspension & traction,4,36.64,146.54,cash
2022-05-28,North,Retail,Suspension & traction,8,29.03,232.24,credit_card
2022-05-28,Central,Wholesale,Suspension & traction,40,28.57,1142.87,bank_transfer
2022-05-28,Central,Retail,Electrical system,5,19.57,97.84,credit_card
2022-05-28,Central,Wholesale,Engine,36,62.02,2232.66,bank_transfer
2022-05-29,North,Retail,Frame & body,4,37.0,148.01,credit_card
2022-05-29,Central,Wholesale,Breaking system,16,13.77,220.32,bank_transfer
2022-05-29,Central,Retail,Engine,1,56.72,56.72,credit_card
2022-05-29,West,Retail,Breaking system,6,15.35,92.08,credit_card
2022-05-29,West,Retail,Electrical system,10,26.46,264.6,credit_card
2022-05-29,Central,Retail,Frame & body,10,37.78,377.78,credit_card
2022-05-29,North,Retail,Breaking system,9,22.21,199.86,credit_card
2022-05-29,Central,Retail,Miscellaneous,6,27.34,164.05,credit_card
2022-05-29,West,Retail,Frame & body,6,36.52,219.15,credit_card
2022-05-29,North,Wholesale,Frame & body,20,37.99,759.77,bank_transfer
2022-05-29,North,Wholesale,Suspension & traction,20,39.56,791.23,bank_transfer
2022-05-29,North,Retail,Electrical system,1,23.1,23.1,credit_card
2022-05-30,Central,Retail,Suspension & traction,8,32.07,256.56,credit_card
2022-05-30,West,Retail,Frame & body,1,37.06,37.06,credit_card
2022-05-30,Central,Retail,Electrical system,4,20.61,82.43,credit_card
2022-05-30,North,Wholesale,Suspension & traction,12,40.63,487.56,bank_transfer
2022-05-30,West,Wholesale,Miscellaneous,40,29.75,1190.13,bank_transfer
2022-05-30,Central,Retail,Suspension & traction,1,28.83,28.83,credit_card
2022-05-30,West,Retail,Miscellaneous,5,29.5,147.52,credit_card
2022-05-30,Central,Wholesale,Suspension & traction,20,26.76,535.1,bank_transfer
2022-05-30,West,Retail,Frame & body,2,46.07,92.13,cash
2022-06-01,Central,Retail,Breaking system,10,18.7,186.97,credit_card
2022-06-01,West,Wholesale,Suspension & traction,16,31.18,498.83,bank_transfer
2022-06-01,Central,Retail,Suspension & traction,6,32.56,195.35,credit_card
2022-06-01,West,Wholesale,Breaking system,32,24.78,793.07,bank_transfer
2022-06-01,West,Retail,Frame & body,9,37.29,335.62,credit_card
2022-06-01,Central,Retail,Breaking system,2,19.85,39.69,cash
2022-06-01,North,Retail,Suspension & traction,1,36.06,36.06,credit_card
2022-06-01,Central,Retail,Electrical system,10,28.69,286.88,credit_card
2022-06-01,Central,Retail,Electrical system,4,23.83,95.33,credit_card
2022-06-01,Central,Retail,Frame & body,1,45.97,45.97,credit_card
2022-06-01,North,Wholesale,Suspension & traction,16,28.46,455.39,bank_transfer
2022-06-01,Central,Retail,Frame & body,6,46.66,279.93,credit_card
2022-06-01,North,Retail,Breaking system,8,16.89,135.12,cash
2022-06-01,Central,Wholesale,Electrical system,36,31.31,1127.22,bank_transfer
2022-06-02,Central,Retail,Suspension & traction,9,28.84,259.6,credit_card
2022-06-02,West,Wholesale,Suspension & traction,36,38.47,1384.74,bank_transfer
2022-06-02,West,Retail,Breaking system,6,22.91,137.48,credit_card
2022-06-02,North,Wholesale,Frame & body,28,44.92,1257.76,bank_transfer
2022-06-02,North,Retail,Miscellaneous,5,15.7,78.53,credit_card
2022-06-02,North,Wholesale,Engine,16,62.95,1007.15,bank_transfer
2022-06-03,West,Retail,Miscellaneous,8,24.33,194.63,credit_card
2022-06-03,Central,Retail,Breaking system,7,12.59,88.15,credit_card
2022-06-03,North,Wholesale,Breaking system,40,15.52,620.87,bank_transfer
2022-06-03,West,Retail,Electrical system,6,22.58,135.49,credit_card
2022-06-03,West,Retail,Miscellaneous,1,19.74,19.74,credit_card
2022-06-03,Central,Retail,Electrical system,7,21.04,147.3,cash
2022-06-03,Central,Wholesale,Breaking system,8,22.22,177.8,bank_transfer
2022-06-03,North,Wholesale,Frame & body,32,41.92,1341.44,bank_transfer
2022-06-03,North,Retail,Miscellaneous,10,15.16,151.6,cash
2022-06-03,Central,Wholesale,Breaking system,36,16.09,579.3,bank_transfer
2022-06-03,West,Retail,Breaking system,4,24.24,96.95,cash
2022-06-03,North,Retail,Engine,1,53.06,53.06,credit_card
2022-06-03,Central,Wholesale,Suspension & traction,8,34.35,274.81,bank_transfer
2022-06-03,Central,Retail,Suspension & traction,8,40.65,325.16,credit_card
2022-06-04,Central,Retail,Breaking system,1,17.3,17.3,credit_card
2022-06-04,North,Retail,Breaking system,10,19.58,195.75,cash
2022-06-04,Central,Wholesale,Miscellaneous,28,28.57,799.87,bank_transfer
2022-06-04,North,Retail,Miscellaneous,5,17.88,89.4,credit_card
2022-06-04,Central,Wholesale,Frame & body,4,45.66,182.65,bank_transfer
2022-06-04,Central,Retail,Frame & body,3,40.49,121.48,credit_card
2022-06-04,North,Retail,Suspension & traction,10,37.13,371.3,credit_card
2022-06-04,Central,Retail,Frame & body,9,42.51,382.6,credit_card
2022-06-04,West,Retail,Frame & body,10,41.56,415.55,credit_card
2022-06-04,Central,Retail,Miscellaneous,5,21.19,105.97,credit_card
2022-06-04,West,Retail,Frame & body,4,45.66,182.63,cash
2022-06-04,Central,Retail,Miscellaneous,5,20.09,100.43,credit_card
2022-06-04,North,Retail,Suspension & traction,7,40.81,285.69,credit_card
2022-06-04,North,Retail,Breaking system,5,21.17,105.85,credit_card
2022-06-05,Central,Retail,Miscellaneous,1,24.63,24.63,cash
2022-06-05,North,Wholesale,Electrical system,28,20.87,584.36,bank_transfer
2022-06-05,Central,Retail,Suspension & traction,9,37.95,341.52,credit_card
